id_municipio_tjsp,raj,municipio_tjsp,comarca_tjsp,comarca_sede,imoveis
6586,3ª RAJ Bauru,Boracéia,Pederneiras,0,Fórum Pederneiras II (CEJUSC)
6586,3ª RAJ Bauru,Boracéia,Pederneiras,0,Fórum Pederneiras III (Arquivo Geral de Móveis)
6593,6ª RAJ Ribeirão Preto,Brodowski,Brodowski,1,Fórum I Brodowski
6593,6ª RAJ Ribeirão Preto,Brodowski,Brodowski,1,Fórum II Brodowski (CEJUSC)
6583,4ª RAJ Campinas,Bom Jesus dos Perdões,Nazaré Paulista,0,FÓRUM DESEMBARGADOR SEBASTIÃO DA SILVA PINTO
6582,10ª RAJ Sorocaba,Boituva,Boituva,1,Fórum Boituva I  (Ofícios Judiciais)
6582,10ª RAJ Sorocaba,Boituva,Boituva,1,Fórum Boituva II - (Juizado Especial)
6582,10ª RAJ Sorocaba,Boituva,Boituva,1,Fórum Boituva III - Anexo Fiscal/Setor Técnico
6582,10ª RAJ Sorocaba,Boituva,Boituva,1,Fórum Boituva IV  (UAAJ - Juizado Especial - Iperó)
6582,10ª RAJ Sorocaba,Boituva,Boituva,1,Fórum Boituva V - (Arquivo JEC)
6582,10ª RAJ Sorocaba,Boituva,Boituva,1,Fórum Boituva VI - (CEJUSC)
6582,10ª RAJ Sorocaba,Boituva,Boituva,1,Fórum Boituva VII - (CEJUSC)
6591,2ª RAJ Araçatuba,Braúna,Penápolis,0,Fórum Penápolis I -
6591,2ª RAJ Araçatuba,Braúna,Penápolis,0,Fórum Penápolis II - (Juizado Especial)
6601,9ª RAJ São José dos Campos,Cachoeira Paulista,Cachoeira Paulista,1,Ministro José Rodrigues Alves Sobrinho
6601,9ª RAJ São José dos Campos,Cachoeira Paulista,Cachoeira Paulista,1,Cejusc
6592,2ª RAJ Araçatuba,Brejo Alegre,Birigui,0,Fórum I Birigüi
6592,2ª RAJ Araçatuba,Brejo Alegre,Birigui,0,Fórum II Birigui (Depósito)
6587,6ª RAJ Ribeirão Preto,Borborema,Borborema,1,"Fórum ""Desembargador Antonio Luis Chaves Camargo"""
6587,6ª RAJ Ribeirão Preto,Borborema,Borborema,1,Forum de Borborema - Juizado Especial Civel e Criminal
6585,5ª RAJ Presidente Prudente,Borá,Paraguaçu Paulista,0,Fórum Paraguaçu Paulista
6602,6ª RAJ Ribeirão Preto,Caconde,Caconde,1,Fórum Caconde  II -  (Juizado Especial Cível e Criminal)
6602,6ª RAJ Ribeirão Preto,Caconde,Caconde,1,Fórum Caconde  III -  (CEJUSC - Tapiratiba)
6602,6ª RAJ Ribeirão Preto,Caconde,Caconde,1,Fórum Caconde  IV -  (CEJUSC)
6602,6ª RAJ Ribeirão Preto,Caconde,Caconde,1,Fórum Caconde I - (Dr. Antônio de Queiroz Filho)
6590,4ª RAJ Campinas,Bragança Paulista,Bragança Paulista,1,Fórum Bragança Paulista - Professor Waldemar Martins Ferreira
