id_municipio_tjsp,raj,comarca_tjsp,unidades,comarca_tjsp_temp
6624,9ª RAJ São José dos Campos,Caraguatatuba,Serviço Anexo das Fazendas,caraguatatuba
6625,1ª RAJ Grande São Paulo,Carapicuíba,Fórum Carapicuíba I - (Des. Coaracy Lacerda Madureira),carapicuiba
6625,1ª RAJ Grande São Paulo,Carapicuíba,Fórum Carapicuíba II (Arquivo),carapicuiba
6626,8ª RAJ São José do Rio Preto,Cardoso,Fórum Cardoso,cardoso
6627,6ª RAJ Ribeirão Preto,Casa Branca,Fórum Casa Branca,casa branca
6630,8ª RAJ São José do Rio Preto,Catanduva,"Fórum ""Dr. Renato Bueno Netto""",catanduva
6630,8ª RAJ São José do Rio Preto,Catanduva,Fórum Catanduva II - (Anexo Fiscal),catanduva
6630,8ª RAJ São José do Rio Preto,Catanduva,Fórum Catanduva III - (CEJUSC),catanduva
6618,5ª RAJ Presidente Prudente,Cândido Mota,Fórum Cândido Mota,candido mota
6633,3ª RAJ Bauru,Cerqueira César,Fórum Cerqueira César,cerqueira cesar
6634,4ª RAJ Campinas,Cerquilho,Fórum Desembargador Dirceu Rocha Lima,cerquilho
6635,10ª RAJ Sorocaba,Cesário Lange,Fórum da Comarca de Cesário Lange,cesario lange
7147,3ª RAJ Bauru,Chavantes,Fórum Chavantes,chavantes
7147,3ª RAJ Bauru,Chavantes,Fórum (Segundo Prédio),chavantes
6638,8ª RAJ São José do Rio Preto,Colina,Fórum Colina - Desembargador Alcides Faro,colina
6640,4ª RAJ Campinas,Conchal,Fórum I Conchal,conchal
6640,4ª RAJ Campinas,Conchal,Fórum II Conchal (CEJUSC),conchal
6641,3ª RAJ Bauru,Conchas,Fórum Conchas,conchas
6641,3ª RAJ Bauru,Conchas,Fórum Conchas III – (Anexo do Juizado - UAAJ - ANHEMBI),conchas
6641,3ª RAJ Bauru,Conchas,Fórum Conchas IV – (Anexo do Juizado - UAAJ - PEREIRAS),conchas
6642,4ª RAJ Campinas,Cordeirópolis,Fórum Cordeirópolis,cordeiropolis
6646,4ª RAJ Campinas,Cosmópolis,Desembargador Rubens Andrade de Noronha,cosmopolis
6648,1ª RAJ Grande São Paulo,Cotia,Fórum Cotia I - Theodomiro Dias,cotia
6648,1ª RAJ Grande São Paulo,Cotia,Fórum Cotia II - Arquivo,cotia
6649,6ª RAJ Ribeirão Preto,Cravinhos,Fórum I Cravinhos,cravinhos
6649,6ª RAJ Ribeirão Preto,Cravinhos,Fórum II Cravinhos (Residência Oficial),cravinhos
6652,9ª RAJ São José dos Campos,Cruzeiro,Fórum I Cruzeiro,cruzeiro
6652,9ª RAJ São José dos Campos,Cruzeiro,Fórum I,cruzeiro
6652,9ª RAJ São José dos Campos,Cruzeiro,Fórum II Cruzeiro (Residência Oficial),cruzeiro
6652,9ª RAJ São José dos Campos,Cruzeiro,Fórum III Cruzeiro (Posto do CEJUSC),cruzeiro
6653,7ª RAJ Santos,Cubatão,Fórum Cubatão - I,cubatao
6654,9ª RAJ São José dos Campos,Cunha,Fórum I Cunha (Desembargador Hildebrando Dantas de Freitas),cunha
6655,6ª RAJ Ribeirão Preto,Descalvado,FÓRUM DA COMARCA DE DESCALVADO,descalvado
6656,1ª RAJ Grande São Paulo,Diadema,Fórum Diadema - Cível,diadema
6656,1ª RAJ Grande São Paulo,Diadema,Fórum Diadema - Criminal,diadema
6656,1ª RAJ Grande São Paulo,Diadema,Fórum Diadema - Juizado Especial Cível,diadema
6656,1ª RAJ Grande São Paulo,Diadema,Fórum Diadema - Fazenda Pública,diadema
6660,3ª RAJ Bauru,Dois Córregos,Fórum Dois Córregos,dois corregos
6660,3ª RAJ Bauru,Dois Córregos,Fórum Dois Córregos II (Residência Oficial),dois corregos
6663,5ª RAJ Presidente Prudente,Dracena,Fórum de Dracena VI (CEJUSC),dracena
6663,5ª RAJ Presidente Prudente,Dracena,Fórum Dracena I - (Principal),dracena
6663,5ª RAJ Presidente Prudente,Dracena,Fórum Dracena II - (Residência Oficial),dracena
6663,5ª RAJ Presidente Prudente,Dracena,Fórum Dracena V - (CEJUSC - POSTO AVANÇADO - 1ª CIA - PM),dracena
6664,3ª RAJ Bauru,Duartina,Fórum Duartina,duartina
6667,7ª RAJ Santos,Eldorado,Fórum Eldorado Paulista I,eldorado
6671,1ª RAJ Grande São Paulo,Embu das Artes,Fórum Desembargador Gilberto Valente da Silva - Comarca de Embu das Artes,embu das artes
6672,1ª RAJ Grande São Paulo,Embu-Guaçu,Fórum Embu-Guaçu,embu-guacu
6675,4ª RAJ Campinas,Espírito Santo do Pinhal,Fórum Espírito Santo do Pinhal I,espirito santo do pinhal
6675,4ª RAJ Campinas,Espírito Santo do Pinhal,Fórum Espírito Santo do Pinhal II - Arq.Geral/Cart. Eleitoral/Ass. Social,espirito santo do pinhal
6675,4ª RAJ Campinas,Espírito Santo do Pinhal,Fórum Espírito Santo do Pinhal III (CEJUSC),espirito santo do pinhal
6675,4ª RAJ Campinas,Espírito Santo do Pinhal,Fórum Espírito Santo do Pinhal IV (Residência Oficial),espirito santo do pinhal
6677,8ª RAJ São José do Rio Preto,Estrela dOeste,Fórum Estrela D'Oeste,estrela doeste
6680,3ª RAJ Bauru,Fartura,Fórum Desembargador Edmond Acar,fartura
6681,8ª RAJ São José do Rio Preto,Fernandópolis,Fórum Fernandópolis I,fernandopolis
6681,8ª RAJ São José do Rio Preto,Fernandópolis,Fórum Fernandópolis II - (Setor das Execuções Fiscais),fernandopolis
6681,8ª RAJ São José do Rio Preto,Fernandópolis,Fórum Fernandópolis III (CEJUSC),fernandopolis
6681,8ª RAJ São José do Rio Preto,Fernandópolis,Fórum Fernandópolis IV (Psicólogos e Assist. Social),fernandopolis
6681,8ª RAJ São José do Rio Preto,Fernandópolis,Fórum Fernandópolis V (UNIV. BRASIL (Antiga UNICASTELO) – CAMPUS VII,fernandopolis
6681,8ª RAJ São José do Rio Preto,Fernandópolis,Fórum Fernandópolis VI (Anexo do Juizado),fernandopolis
6684,1ª RAJ Grande São Paulo,Ferraz de Vasconcelos,"Fórum de Ferraz de Vasconcelos ""Desembargador Ruy Toledo de Assumpção""",ferraz de vasconcelos
6687,5ª RAJ Presidente Prudente,Flórida Paulista,Fórum Flórida Paulista,florida paulista
6689,6ª RAJ Ribeirão Preto,Franca,Fórum I de Franca,franca
6689,6ª RAJ Ribeirão Preto,Franca,Fórum II de Franca (CEJUSC),franca
6689,6ª RAJ Ribeirão Preto,Franca,Fórum III de Franca (CEJUSC - Posto),franca
6689,6ª RAJ Ribeirão Preto,Franca,Fórum IV de Franca (Anexo do JEC - UNESP),franca
6689,6ª RAJ Ribeirão Preto,Franca,Fórum V de Franca (CEJUSC - 5ª Cia do 15º BPM-I),franca
6690,4ª RAJ Campinas,Francisco Morato,Fórum Francisco Morato I - Vanderlei Aparecido Borges,francisco morato
6690,4ª RAJ Campinas,Francisco Morato,Fórum Francisco Morato IV,francisco morato
6690,4ª RAJ Campinas,Francisco Morato,Fórum Francisco Morato V - CEJUSC (Defensoria Pública),francisco morato
6691,4ª RAJ Campinas,Franco da Rocha,Fórum Franco da Rocha,franco da rocha
6694,5ª RAJ Presidente Prudente,Garça,Fórum I Garça,garca
6694,5ª RAJ Presidente Prudente,Garça,Fórum II Garça (CEJUSC),garca
6693,5ª RAJ Presidente Prudente,Gália,Comarca de Gália,galia
6697,8ª RAJ São José do Rio Preto,General Salgado,Fórum General Salgado (ARGYMIRO ACAYABA DE TOLEDO),general salgado
6698,2ª RAJ Araçatuba,Getulina,Fórum Getulina I - (Principal),getulina
6698,2ª RAJ Araçatuba,Getulina,Fórum Getulina II - (Unidade Forense),getulina
6702,8ª RAJ São José do Rio Preto,Guaíra,Fórum da Comarca de Guaíra I,guaira
6702,8ª RAJ São José do Rio Preto,Guaíra,Fórum Guaíra II,guaira
6710,2ª RAJ Araçatuba,Guararapes,Fórum I Guararapes,guararapes
6711,1ª RAJ Grande São Paulo,Guararema,Fórum I Guararema - (Dr. Francisco Xavier Moretz Sohm),guararema
6711,1ª RAJ Grande São Paulo,Guararema,Fórum II Guararema - (CEJUSC),guararema
6712,9ª RAJ São José dos Campos,Guaratinguetá,Fórum Guaratinguetá I (Principal),guaratingueta
6712,9ª RAJ São José dos Campos,Guaratinguetá,Fórum Guaratinguetá,guaratingueta
6712,9ª RAJ São José dos Campos,Guaratinguetá,Fórum Guaratinguetá III (Execuções Fiscais),guaratingueta
6712,9ª RAJ São José dos Campos,Guaratinguetá,Fórum Guaratinguetá IV (CEJUSC),guaratingueta
6705,6ª RAJ Ribeirão Preto,Guará,Fórum Guará - Desembargador Valentim Alves da Silva,guara
6714,6ª RAJ Ribeirão Preto,Guariba,"Fórum da Comarca de Guariba ""Desembargador Humberto Andrade Junqueira""",guariba
6714,6ª RAJ Ribeirão Preto,Guariba,Fórum Guariba II - CEJUSC,guariba
6715,7ª RAJ Santos,Guarujá,Fórum Guarujá I -  CÍVEL/CRIMINAL,guaruja
6715,7ª RAJ Santos,Guarujá,Fórum Guarujá II - VARA DA FAZENDA PÚBLICA,guaruja
6715,7ª RAJ Santos,Guarujá,Fórum Guarujá III - FAMÍLIA - JEC/JECRIM,guaruja
6715,7ª RAJ Santos,Guarujá,Fórum Guarujá IV - (CEJUSC),guaruja
6715,7ª RAJ Santos,Guarujá,Fórum Guarujá V,guaruja
6716,1ª RAJ Grande São Paulo,Guarulhos,CEJUSC II – UAAJ UNIGUARULHOS,guarulhos
6716,1ª RAJ Grande São Paulo,Guarulhos,Fórum Guarulhos I - (Fórum Criminal - Dr. Murilo Matos Faria),guarulhos
6716,1ª RAJ Grande São Paulo,Guarulhos,Fórum Guarulhos II - (Fórum Cível - Dr. Flávio Cleto Giovanni Trombetti),guarulhos
6716,1ª RAJ Grande São Paulo,Guarulhos,Fórum Guarulhos III - (CEJUSC I – UAAJ UNIFIG),guarulhos
6721,4ª RAJ Campinas,Hortolândia,FÓRUM DA COMARCA DE HORTOLÂNDIA,hortolandia
6721,4ª RAJ Campinas,Hortolândia,PRÉDIO II - ANEXO,hortolandia
6722,6ª RAJ Ribeirão Preto,Iacanga,COMARCA DE IACANGA,iacanga
6722,6ª RAJ Ribeirão Preto,Iacanga,Fórum Iacanga III (CEJUSC),iacanga
6725,6ª RAJ Ribeirão Preto,Ibaté,Fórum Ibaté,ibate
6728,6ª RAJ Ribeirão Preto,Ibitinga,"Fórum ""Dr. Aderson Perdigão Nogueira""",ibitinga
6728,6ª RAJ Ribeirão Preto,Ibitinga,Fórum Ibitinga II,ibitinga
6729,10ª RAJ Sorocaba,Ibiúna,Fórum Ibiúna I - (Principal),ibiuna
